score
1
1
1
1
1
1
1
1
1
1
1
1
1
2
2
2
2
2
2
2
2
2
2
2
3
3
3
3
3
3
3
4
4
4
5
5
5
5
5
5
5
6
6
6
6
6
7
7
7
7
8
8
8
8
8
8
9
9
9
9
10
10
11
11
12
13
13
14
14
15
15
15
16
16
17
18
19
20
21
22
27
27
29
32
33
34
37
37
38
44
48
52
54
55
55
57
62
69
70
70
83
86
86
94
98
98
100
100
109
132
145
149
162
168
182
232
274
278
438
624
986
1287
1362
1383
